CnBio_ID,CnSmryAct_1_Ttal_nmbr_f_Actins,CnSmryGft_1_Total_Gift_amount
"107766462","1","$590.00"
"107766992","0","$140.00"
"107821767","0","$3,200.00"
"107847940","0","$0.00"
"107857474","4","$1,545.00"
"107865698","0","$50.00"
"107866156","0","$275.00"
"107866995","0","$40.00"
"107868409","0","$35.00"
"107869976","0","$105.00"
"107870345","1","$310.00"
"107870849","4","$445.00"
"107871411","0","$35.00"
"107872926","0","$70.00"
"107873144","0","$565.00"
"107873204","0","$450.00"
"107873226","0","$175.00"
"107873317","0","$150.00"
"107874802","0","$430.00"
"107875014","0","$35.00"
"107875230","0","$150.00"
"107882365","2","$520.00"
"107882528","0","$1,460.00"
"107882876","0","$100.00"
"107883111","0","$50.00"
"107883501","0","$50.00"
"107883737","0","$50.00"
"107883847","0","$50.00"
"107884853","2","$870.00"
"107884937","0","$50.00"
"107885454","0","$150.00"
"107886051","0","$75.00"
"107886082","0","$225.00"
"107886237","0","$75.00"
"107886272","3","$160.00"
"107886292","0","$35.00"
"107888429","0","$75.00"
"107889168","0","$50.00"
"107931980","0","$35.00"
"107933364","0","$340.00"
"107935933","1","$740.00"
"107937920","6","$540.00"
"107938411","0","$75.00"
"107938974","0","$75.00"
"107939509","0","$75.00"
"107940099","0","$75.00"
"108214219","0","$160.00"
"108287888","0","$230.00"
"108288185","0","$45.00"
"108288418","0","$75.00"
"108288461","25","$550.00"
"108291513","0","$210.00"
"108291971","9","$1,065.00"
"108292815","0","$175.00"
"108294090","0","$255.00"
"108294210","4","$820.00"
"108294563","0","$185.00"
"108294750","0","$100.00"
"108296035","4","$3,075.00"
"108301116","0","$350.00"
"108303215","0","$1,560.00"
"108303407","0","$430.00"
"108306822","2","$780.00"
"108306899","4","$2,312.50"
"108311349","1","$950.00"
"108314061","0","$155.00"
"108319213","13","$920.00"
"108323309","0","$35.00"
"108323416","14","$1,200.00"
"108325403","0","$225.00"
"108326558","2","$250.00"
"108326564","0","$75.00"
"108326579","0","$0.00"
"108326581","0","$50.00"
"108326585","0","$540.00"
"108326595","0","$75.00"
"108326599","0","$70.00"
"108326610","0","$335.00"
"108326616","0","$0.00"
"108326621","0","$0.00"
"108326624","0","$1,250.00"
"108326627","0","$112.50"
"108326640","0","$1,050.00"
"108326642","0","$150.00"
"108326643","0","$110.00"
"108326651","0","$495.00"
"108326668","0","$0.00"
"108326670","0","$125.00"
"108326674","0","$35.00"
"108326675","2","$1,030.00"
"108326676","0","$7,916.31"
"108326679","3","$670.00"
"108326683","0","$0.00"
"108326697","0","$200.00"
"108326704","0","$70.00"
"108326712","0","$0.00"
"108326727","2","$660.00"
"108326735","0","$105.00"
"108326737","0","$355.00"
"108326738","0","$75.00"
"108326740","0","$0.00"
"108326749","0","$340.00"
"108326754","8","$265.00"
"108326762","0","$145.00"
"108326784","0","$110.00"
"108326796","0","$0.00"
"108326801","0","$275.00"
"108326810","0","$75.00"
"108326811","0","$2,220.00"
"108326856","0","$0.00"
"108326867","0","$85.00"
"108327538","0","$0.00"
"108327744","0","$155.00"
"108329656","0","$1,245.00"
"108329695","0","$150.00"
"108331493","0","$255.00"
"108331580","0","$935.00"
"108334182","3","$3,825.00"
"108352348","0","$75.00"
"108365459","0","$200.00"
"108365569","0","$810.00"
"108366292","0","$295.00"
"108367672","2","$110.00"
"108368035","0","$155.00"
"108368036","2","$35.00"
"108368081","0","$70.00"
"108368140","0","$150.00"
"108368318","0","$220.00"
"108368358","0","$70.00"
"108368480","0","$105.00"
"108368578","3","$2,200.00"
"108368656","0","$50.00"
"108368678","0","$470.00"
"108368711","4","$660.00"
"108368793","0","$100.00"
"108368852","0","$50.00"
"108368918","0","$485.00"
"108368989","0","$295.00"
"108369030","1","$660.00"
"108369069","0","$1,000.00"
"108369143","0","$825.00"
"108369172","0","$185.00"
"108369243","1","$5,650.00"
"108369257","0","$70.00"
"108369473","0","$70.00"
"108369599","0","$70.00"
"108369630","0","$35.00"
"108369671","0","$35.00"
"108369728","0","$35.00"
"108369763","0","$35.00"
"108369808","0","$100.00"
"108370235","0","$35.00"
"108370639","0","$35.00"
"108370962","3","$690.00"
"108371264","0","$35.00"
"108372588","0","$275.00"
"108373800","4","$865.00"
"108374246","0","$50.00"
"108375226","0","$250.00"
"108375906","0","$35.00"
"108376027","0","$35.00"
"108376493","0","$225.00"
"108376746","0","$1,435.00"
"108376887","0","$110.00"
"108377255","3","$975.00"
"108377617","0","$150.00"
"108377959","0","$330.00"
"108378143","0","$105.00"
"108379544","0","$225.00"
"108379755","0","$50.00"
"108379885","18","$205.00"
"108380408","0","$50.00"
"108380784","6","$3,400.00"
"108381203","0","$170.00"
"108381429","0","$35.00"
"108381649","0","$150.00"
"108382043","1","$2,270.00"
"108382462","12","$825.00"
"108382486","0","$35.00"
"108383048","0","$425.00"
"108383442","0","$520.00"
"108383693","0","$150.00"
"108383698","0","$210.00"
"108384050","0","$770.00"
"108384113","0","$70.00"
"108385698","0","$135.00"
"108387314","0","$70.00"
"108388201","0","$50.00"
"108388474","0","$135.00"
"108388980","0","$440.00"
"108389562","0","$70.00"
"108392311","0","$35.00"
"108393044","3","$1,160.00"
"108393661","0","$2,350.00"
"108394527","0","$150.00"
"108394652","0","$70.00"
"108394912","0","$50.00"
"108395188","0","$100.00"
"108396299","0","$110.00"
"108396907","0","$1,160.00"
"108396913","1","$935.00"
"108397538","0","$50.00"
"108398333","0","$240.00"
"108398602","0","$225.00"
"108398668","0","$210.00"
"108401681","0","$35.00"
"108401828","0","$150.00"
"108401968","0","$35.00"
"108402323","3","$880.00"
"108402670","0","$690.00"
"108402951","0","$105.00"
"108404101","0","$85.00"
"108405155","0","$700.00"
"108405909","2","$805.00"
"108407563","0","$1,285.00"
"108407932","0","$2,325.00"
"108408258","0","$35.00"
"108408321","0","$575.00"
"108408356","0","$225.00"
"108408814","0","$295.00"
"108409160","0","$35.00"
"108409473","0","$325.00"
"108409771","0","$105.00"
"108409830","0","$985.00"
"108410131","0","$100.00"
"108410566","0","$35.00"
"108412450","0","$35.00"
"108414289","0","$100.00"
"108414907","0","$475.00"
"108415387","0","$225.00"
"108415988","0","$125.00"
"108416175","0","$250.00"
"108416300","2","$355.00"
"108417248","0","$135.00"
"108417804","0","$35.00"
"108418345","0","$50.00"
"108418701","0","$1,000.00"
"108419109","0","$70.00"
"108419756","0","$50.00"
"108422188","3","$1,845.00"
"108424819","0","$35.00"
"108426017","0","$140.00"
"108428576","0","$145.00"
"108431206","0","$35.00"
"108434576","1","$1,125.00"
"108437249","6","$350.00"
"108439298","0","$35.00"
"108439845","0","$135.00"
"108481754","1","$605.00"
"108484615","0","$35.00"
"108488088","2","$820.00"
"108514703","0","$50.00"
"108519594","0","$0.00"
"108543037","0","$50.00"
"108582244","0","$250.00"
"108595995","1","$1,140.00"
"108604854","1","$1,122.50"
"108612075","0","$550.00"
"108634462","0","$35.00"
"108652821","0","$395.00"
"108656719","3","$5,727.50"
"108660245","0","$50.00"
"108826772","0","$40.00"
"108827186","2","$690.00"
"108827272","0","$35.00"
"108827428","0","$145.00"
"108829205","1","$625.00"
"108831055","1","$500.00"
"108845468","0","$75.00"
"108850668","0","$0.00"
"108851813","0","$195.00"
"108851922","0","$345.00"
"108866430","0","$612.50"
"108866492","1","$800.00"
"108866531","0","$35.00"
"108866551","0","$70.00"
"108866581","0","$35.00"
"108866625","0","$50.00"
"108866643","0","$525.00"
"108866660","6","$1,710.00"
"108866675","0","$330.00"
"108866690","0","$450.00"
"108866736","0","$100.00"
"108866768","0","$140.00"
"108866790","0","$75.00"
"108866812","0","$35.00"
"108866833","0","$175.00"
"108866855","0","$70.00"
"108866869","0","$50.00"
"108866946","0","$35.00"
"108866967","0","$35.00"
"108867067","0","$490.00"
"108867084","1","$625.00"
"108867108","0","$220.00"
"108867128","0","$35.00"
"108867144","0","$50.00"
"108867166","0","$325.00"
"108867244","0","$0.00"
"108874048","0","$75.00"
"108907283","0","$35.00"
"108907312","0","$1,010.00"
"108907326","0","$500.00"
"108907341","0","$35.00"
"108907385","0","$40.00"
"108907969","0","$105.00"
"108907979","0","$450.00"
"108908009","0","$595.00"
"108908028","0","$35.00"
"108908085","1","$1,602.50"
"108908100","0","$35.00"
"108908154","0","$35.00"
"108908160","6","$1,180.00"
"108908176","0","$35.00"
"108908196","0","$50.00"
"108908209","0","$70.00"
"108908226","0","$210.00"
"108908243","0","$300.00"
"108908260","1","$785.00"
"108908276","0","$260.00"
"108908286","0","$105.00"
"108908290","0","$40.00"
"108908304","1","$1,990.00"
"108908314","2","$375.00"
"108908327","0","$185.00"
"108908345","1","$305.00"
"108908368","0","$50.00"
"108908390","0","$35.00"
"108908405","2","$485.00"
"108908429","0","$210.00"
"108908439","0","$35.00"
"108908458","0","$35.00"
"108908526","0","$35.00"
"108908537","0","$35.00"
"108908556","0","$75.00"
"108908594","5","$740.00"
"108908608","0","$75.00"
"108908619","0","$50.00"
"108909584","0","$1,125.00"
"108909609","0","$600.00"
"108912205","0","$215.00"
"108976382","3","$930.00"
"109082861","5","$950.00"
"109104598","0","$35.00"
"109106036","0","$35.00"
"109106818","0","$35.00"
"109121401","0","$35.00"
"109121800","0","$345.00"
"109122368","1","$415.00"
"109128921","0","$290.00"
"109130017","0","$150.00"
"109136713","0","$550.00"
"109151976","0","$35.00"
"109181477","0","$50.00"
"109183909","0","$100.00"
"109184160","0","$100.00"
"109188298","0","$350.00"
"109226838","0","$50.00"
"109368551","0","$100.00"
"109368591","0","$85.00"
"109368628","0","$2,700.00"
"109368651","0","$175.00"
"109368682","0","$70.00"
"109368738","1","$405.00"
"109368761","1","$1,485.00"
"109368795","0","$200.00"
"109369024","0","$50.00"
"109369059","0","$50.00"
"109369082","0","$670.00"
"109369218","0","$310.00"
"109369264","0","$640.00"
"109369369","1","$3,835.00"
"109369402","0","$35.00"
"109369471","0","$50.00"
"109369503","0","$180.00"
"109369525","0","$35.00"
"109369673","0","$690.00"
"109369694","1","$625.00"
"109369714","0","$35.00"
"109369737","0","$350.00"
"109369854","0","$695.00"
"109370013","0","$475.00"
"109370043","0","$400.00"
"109370064","0","$90.00"
"109370157","0","$3,000.00"
"109370226","0","$35.00"
"109370256","0","$35.00"
"109370385","0","$185.00"
"109370415","0","$300.00"
"109370443","0","$35.00"
"109370470","0","$400.00"
"109370567","0","$275.00"
"109370624","0","$1,000.00"
"109370652","0","$35.00"
"109370677","0","$175.00"
"109370778","0","$35.00"
"109370844","0","$500.00"
"109370863","3","$715.00"
"109370998","0","$175.00"
"109371019","0","$75.00"
"109371024","0","$50.00"
"109371130","0","$50.00"
"109371260","0","$70.00"
"109371347","6","$835.00"
"109371463","0","$50.00"
"109371485","0","$50.00"
